place5,Place,census_2020_count,july1_2023_pop_est,jan1_2024_pop_est,num_chg_20_23,num_chg_20_24,pct_chg_20_23,pct_chg_20_24
00100,Abbott,352,352,352,0,0,0.0,0.0
00160,Abernathy,2865,2814,2809,-51,-56,-1.8,-2.0
01000,Abilene,125182,129768,131676,4586,6494,3.7,5.2
01108,Ackerly,264,263,268,-1,4,-0.4,1.5
01240,Addison,16661,16886,16925,225,264,1.4,1.6
01324,Adrian,128,128,128,0,0,0.0,0.0
01396,Agua Dulce,685,666,661,-19,-24,-2.8,-3.5
01576,Alamo,19493,20609,20766,1116,1273,5.7,6.5
01600,Alamo Heights,7357,7497,7500,140,143,1.9,1.9
01636,Alba,473,476,472,3,-1,0.6,-0.2
01648,Albany,1854,1965,1998,111,144,6.0,7.8
01744,Aledo,4858,5657,5761,799,903,16.4,18.6
01852,Alice,17891,18467,18462,576,571,3.2,3.2
01924,Allen,104627,110218,110859,5591,6232,5.3,6.0
02044,Alma,373,421,433,48,60,12.9,16.1
02104,Alpine,6035,6109,6190,74,155,1.2,2.6
02188,Alto,1027,1032,1032,5,5,0.5,0.5
02212,Alton,18198,20709,21340,2511,3142,13.8,17.3
02260,Alvarado,4739,6133,6299,1394,1560,29.4,32.9
02272,Alvin,27098,28631,28843,1533,1745,5.7,6.4
02284,Alvord,1351,1503,1533,152,182,11.3,13.5
03000,Amarillo,200393,201950,202551,1557,2158,0.8,1.1
03072,Ames,937,954,954,17,17,1.8,1.8
03084,Amherst,678,655,653,-23,-25,-3.4,-3.7
03144,Anahuac,1980,1981,1991,1,11,0.1,0.6
03192,Anderson,193,208,210,15,17,7.8,8.8
03216,Andrews,13487,13215,13155,-272,-332,-2.0,-2.5
03264,Angleton,19429,20121,20311,692,882,3.6,4.5
03288,Angus,444,468,471,24,27,5.4,6.1
03300,Anna,16896,27103,28714,10207,11818,60.4,69.9
03336,Annetta,3041,3077,3085,36,44,1.2,1.4
03340,Annetta North,554,567,572,13,18,2.3,3.2
